Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
192.168.1.7,34.36.254.54,17,58909,443,207
192.168.1.7,34.36.254.54,17,58909,443,1288
192.168.1.7,34.36.254.54,17,58909,443,771
34.111.35.151,192.168.1.7,17,443,51591,66
34.36.254.54,192.168.1.7,17,443,58909,626
34.36.254.54,192.168.1.7,17,443,58909,163
192.168.1.7,34.36.254.54,17,58909,443,74
34.36.254.54,192.168.1.7,17,443,58909,65
34.36.254.54,192.168.1.7,17,443,58909,70
192.168.1.7,34.36.254.54,17,58909,443,74
34.36.254.54,192.168.1.7,17,443,58909,224
34.36.254.54,192.168.1.7,17,443,58909,1288
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,167
192.168.1.7,34.36.254.54,17,58909,443,77
192.168.1.7,34.36.254.54,17,58909,443,73
34.36.254.54,192.168.1.7,17,443,58909,1287
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,484
192.168.1.7,34.36.254.54,17,58909,443,73
192.168.1.7,34.36.254.54,17,58909,443,73
34.36.254.54,192.168.1.7,17,443,58909,1287
192.168.1.7,34.36.254.54,17,58909,443,73
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,870
192.168.1.7,34.36.254.54,17,58909,443,73
34.36.254.54,192.168.1.7,17,443,58909,66
192.168.1.7,192.168.1.1,17,57182,53,77
192.168.1.7,192.168.1.1,17,62856,53,77
192.168.1.1,192.168.1.7,17,53,62856,77
192.168.1.1,192.168.1.7,17,53,57182,205
192.168.1.7,44.228.52.41,6,50410,443,66
44.228.52.41,192.168.1.7,6,443,50410,66
192.168.1.7,44.228.52.41,6,50410,443,54
192.168.1.7,44.228.52.41,6,50410,443,1845
192.168.1.7,192.168.1.1,17,53036,53,79
192.168.1.7,192.168.1.1,17,53036,53,79
192.168.1.1,192.168.1.7,17,53,53036,107
44.228.52.41,192.168.1.7,6,443,50410,54
44.228.52.41,192.168.1.7,6,443,50410,1514
44.228.52.41,192.168.1.7,6,443,50410,1514
44.228.52.41,192.168.1.7,6,443,50410,1514
192.168.1.7,44.228.52.41,6,50410,443,54
44.228.52.41,192.168.1.7,6,443,50410,878
192.168.1.7,44.228.52.41,6,50410,443,54
192.168.1.7,44.228.52.41,6,50410,443,118
192.168.1.7,44.228.52.41,6,50410,443,146
192.168.1.7,44.228.52.41,6,50410,443,416
192.168.1.7,44.228.52.41,6,50410,443,1627
192.168.1.1,192.168.1.7,17,53,53036,107
44.228.52.41,192.168.1.7,6,443,50410,54
44.228.52.41,192.168.1.7,6,443,50410,200
44.228.52.41,192.168.1.7,6,443,50410,116
192.168.1.7,44.228.52.41,6,50410,443,54
192.168.1.7,44.228.52.41,6,50410,443,85
44.228.52.41,192.168.1.7,6,443,50410,54
44.228.52.41,192.168.1.7,6,443,50410,85
44.228.52.41,192.168.1.7,6,443,50410,54
44.228.52.41,192.168.1.7,6,443,50410,296
192.168.1.7,44.228.52.41,6,50410,443,54
44.228.52.41,192.168.1.7,6,443,50410,85
192.168.1.7,44.228.52.41,6,50410,443,110
192.168.1.7,44.228.52.41,6,50410,443,1765
44.228.52.41,192.168.1.7,6,443,50410,54
44.228.52.41,192.168.1.7,6,443,50410,295
44.228.52.41,192.168.1.7,6,443,50410,85
192.168.1.7,44.228.52.41,6,50410,443,54
192.168.1.7,192.168.1.1,17,58149,53,79
192.168.1.7,192.168.1.1,17,55112,53,79
192.168.1.1,192.168.1.7,17,53,58149,119
192.168.1.1,192.168.1.7,17,53,55112,131
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
192.168.1.7,44.228.52.41,6,50410,443,54
44.228.52.41,192.168.1.7,6,443,50410,54
192.168.1.7,44.228.52.41,6,50410,443,54
192.168.1.7,192.168.1.1,17,62840,53,74
192.168.1.7,192.168.1.1,17,62856,53,74
192.168.1.1,192.168.1.7,17,53,62840,111
192.168.1.1,192.168.1.7,17,53,62856,123
192.168.1.7,192.168.1.1,17,58149,53,75
192.168.1.7,192.168.1.1,17,57182,53,75
192.168.1.1,192.168.1.7,17,53,57182,91
192.168.1.1,192.168.1.7,17,53,58149,91
192.168.1.7,20.187.186.89,6,50239,443,55
20.187.186.89,192.168.1.7,6,443,50239,66
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,192.168.1.1,17,55112,53,79
192.168.1.7,192.168.1.1,17,62840,53,79
192.168.1.1,192.168.1.7,17,53,55112,119
192.168.1.1,192.168.1.7,17,53,62840,131
192.168.1.7,142.250.204.142,6,50416,443,66
142.250.204.142,192.168.1.7,6,443,50416,66
192.168.1.7,142.250.204.142,6,50416,443,54
192.168.1.7,142.250.204.142,6,50416,443,1879
142.250.204.142,192.168.1.7,6,443,50416,54
142.250.204.142,192.168.1.7,6,443,50416,54
142.250.204.142,192.168.1.7,6,443,50416,1466
142.250.204.142,192.168.1.7,6,443,50416,1466
142.250.204.142,192.168.1.7,6,443,50416,1466
142.250.204.142,192.168.1.7,6,443,50416,1466
142.250.204.142,192.168.1.7,6,443,50416,1466
142.250.204.142,192.168.1.7,6,443,50416,901
192.168.1.7,142.250.204.142,6,50416,443,54
192.168.1.7,142.250.204.142,6,50416,443,128
142.250.204.142,192.168.1.7,6,443,50416,1022
192.168.1.7,142.250.204.142,6,50416,443,54
192.168.1.7,142.250.204.142,6,50416,443,54
142.250.204.142,192.168.1.7,6,443,50416,54
192.168.1.7,142.250.204.142,6,50416,443,54
